datetime,unix_timestamp,region,lat,lon,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,solar_rad_wm2,rain_last_24h_mm,vpd_kpa,co_ppm,co2_ppm,tvoc_ppb,h2_idx,ethanol_idx,hydrocarbon_idx,ignite_next_5min,risk_score_noisy
2024-06-01 00:00:00,1717185600,Lerik,38.72561,48.43918,29.68,51.8,0.25,133.0,0.0,0.9,1.9,0.281,350.0,36.1,12.46,1.67,17.0,0,-0.765
2024-06-01 00:05:00,1717185900,Guba,40.94374,48.90038,28.8,54.8,3.65,355.2,0.0,0.84,1.82,0.338,463.2,58.4,12.09,5.02,1.45,0,-0.438
2024-06-01 00:10:00,1717186200,Shamakhi,40.61944,48.63274,30.01,27.8,5.45,182.4,0.0,0.98,2.39,0.395,460.1,342.0,17.88,0.63,1.37,1,2.394
2024-06-01 00:15:00,1717186500,Lerik,38.74131,48.34928,29.62,62.8,2.96,23.1,0.0,3.2,1.68,0.13,478.3,345.7,4.27,8.16,8.68,1,0.838
2024-06-01 00:20:00,1717186800,Lerik,38.85563,48.40717,25.84,53.0,3.78,274.7,0.0,1.51,1.77,0.116,381.1,41.6,6.55,8.35,0.27,0,-0.072
2024-06-01 00:25:00,1717187100,Guba,40.99644,48.86504,25.44,34.2,6.52,136.0,0.0,1.52,2.13,0.538,379.3,38.1,6.77,6.7,9.79,0,-0.331
2024-06-01 00:30:00,1717187400,Shamakhi,40.60428,48.53898,26.58,26.1,0.84,44.3,0.0,4.62,2.33,0.396,350.0,5.0,12.66,13.77,0.54,0,-0.254
2024-06-01 00:35:00,1717187700,Shamakhi,40.58608,48.55694,32.93,29.5,3.04,200.5,0.0,0.31,2.45,0.292,415.0,86.3,15.38,4.13,3.62,1,4.305
2024-06-01 00:40:00,1717188000,Lerik,38.83864,48.37278,31.34,64.2,5.33,89.6,0.0,0.54,1.71,0.301,389.0,65.5,4.81,11.96,0.1,0,0.007
2024-06-01 00:45:00,1717188300,Gabala,41.01916,47.91223,17.08,37.4,3.7,338.1,0.0,1.86,1.81,0.447,365.8,40.8,0.5,6.17,3.96,1,0.86
